Nonce Bits | Signatures |  Success Rate (%)
---------------------------------------------
       128 |          2 |             100.0
       160 |          2 |             100.0
       192 |          2 |             100.0
       224 |          2 |             100.0
       256 |          2 |              30.0
       256 |          3 |              60.0
       256 |          4 |              70.0
       256 |          5 |              60.0
       256 |          6 |              60.0
       256 |          7 |              80.0
       256 |          8 |              80.0
       256 |          9 |              60.0
       256 |         10 |              70.0
       256 |         11 |              80.0
       256 |         12 |              60.0
       256 |         13 |              70.0
       256 |         14 |              80.0
       256 |         15 |              60.0
       256 |         16 |              70.0
       256 |         17 |              60.0
       256 |         18 |              60.0
       256 |         19 |              60.0
       256 |         20 |              60.0
       256 |         21 |              80.0
       256 |         22 |              80.0
       256 |         23 |              80.0
       256 |         24 |              70.0
       256 |         25 |              90.0
       257 |          2 |              50.0
       257 |          3 |              50.0
       257 |          4 |              50.0
       257 |          5 |              50.0
       257 |          6 |              60.0
       257 |          7 |              50.0
       257 |          8 |              60.0
       257 |          9 |              50.0
       257 |         10 |              20.0
       257 |         11 |              50.0
       257 |         12 |              20.0
       257 |         13 |              20.0
       257 |         14 |              50.0
       257 |         15 |              30.0
       257 |         16 |              30.0
       257 |         17 |              30.0
       257 |         18 |              30.0
       257 |         19 |              50.0
       257 |         20 |              30.0
       257 |         21 |              40.0
       257 |         22 |              40.0
       257 |         23 |              40.0
       257 |         24 |              70.0
       258 |          2 |              30.0
       258 |          3 |              30.0
       258 |          4 |              20.0
       258 |          5 |              20.0
       258 |          6 |              30.0
       258 |          7 |              20.0
       258 |          8 |              10.0
       258 |          9 |              30.0
       258 |         10 |              40.0
       258 |         11 |              10.0
       258 |         12 |              10.0
       258 |         13 |              30.0
       258 |         14 |              40.0
       258 |         15 |               0.0
       258 |         16 |              20.0
       258 |         17 |              20.0
       258 |         18 |              10.0
       258 |         19 |              20.0
       258 |         20 |               0.0
       258 |         21 |              10.0
       258 |         22 |              10.0
       258 |         23 |              20.0
       258 |         24 |              20.0
       258 |         25 |              20.0
       258 |         26 |              20.0
       258 |         27 |              10.0
       258 |         28 |              10.0
       258 |         29 |              20.0
       258 |         30 |              20.0
       258 |         31 |              40.0
       258 |         32 |              30.0
       258 |         33 |              10.0
       258 |         34 |              10.0
       258 |         35 |              40.0
       258 |         36 |              40.0
       258 |         37 |              10.0
       258 |         38 |              30.0
       258 |         39 |              10.0
       258 |         40 |              10.0
       258 |         41 |               0.0
       258 |         42 |              10.0
       258 |         43 |              40.0
       258 |         44 |              10.0
       258 |         45 |              40.0
       258 |         46 |              30.0
       258 |         47 |              20.0
       258 |         48 |              20.0
       258 |         49 |              20.0
       258 |         50 |              30.0
       259 |          2 |              30.0
       259 |          3 |               0.0
       259 |          4 |              10.0
       259 |          5 |              10.0
       259 |          6 |              10.0
       259 |          7 |               0.0
       259 |          8 |               0.0
       259 |          9 |              20.0
       259 |         10 |              10.0
       259 |         11 |              20.0
       259 |         12 |               0.0
       259 |         13 |              10.0
       259 |         14 |               0.0
       259 |         15 |              20.0
       259 |         16 |              10.0
       259 |         17 |              30.0
       259 |         18 |              10.0
       259 |         19 |               0.0
       259 |         20 |               0.0
       259 |         21 |              20.0
       259 |         22 |              10.0
       259 |         23 |              10.0
       259 |         24 |              10.0
       259 |         25 |              20.0
       259 |         26 |              10.0
       259 |         27 |               0.0
       259 |         28 |              30.0
       259 |         29 |              30.0
       259 |         30 |               0.0
       259 |         31 |               0.0
       259 |         32 |              10.0
       259 |         33 |              20.0
       259 |         34 |              20.0
       259 |         35 |              10.0
       259 |         36 |               0.0
       259 |         37 |              10.0
       259 |         38 |              10.0
       259 |         39 |              10.0
       259 |         40 |              10.0
       259 |         41 |              10.0
       259 |         42 |               0.0
       259 |         43 |               0.0
       259 |         44 |              10.0
       259 |         45 |              10.0
       259 |         46 |              10.0
       259 |         47 |               0.0
       259 |         48 |               0.0
       259 |         49 |              10.0
       259 |         50 |               0.0
       260 |          2 |               0.0
       260 |          3 |               0.0
       260 |          4 |               0.0
       260 |          5 |              10.0
       260 |          6 |               0.0
       260 |          7 |               0.0
       260 |          8 |               0.0
       260 |          9 |              10.0
       260 |         10 |               0.0
       260 |         11 |               0.0
       260 |         12 |               0.0
       260 |         13 |               0.0
       260 |         14 |               0.0
       260 |         15 |               0.0
       260 |         16 |              10.0
       260 |         17 |              10.0
       260 |         18 |              10.0
       260 |         19 |               0.0
       260 |         20 |               0.0
       260 |         21 |               0.0
       260 |         22 |               0.0
       260 |         23 |              10.0
       260 |         24 |               0.0
       260 |         25 |              10.0
       260 |         26 |               0.0
       260 |         27 |               0.0
       260 |         28 |              10.0
       260 |         29 |               0.0
       260 |         30 |              20.0
       260 |         31 |               0.0
       260 |         32 |               0.0
       260 |         33 |               0.0
       260 |         34 |               0.0
       260 |         35 |               0.0
       260 |         36 |               0.0
       260 |         37 |               0.0
       260 |         38 |               0.0
       260 |         39 |              10.0
       260 |         40 |              10.0
       260 |         41 |               0.0
       260 |         42 |               0.0
       260 |         43 |              10.0
       260 |         44 |               0.0
       260 |         45 |               0.0
       260 |         46 |               0.0
       260 |         47 |               0.0
       260 |         48 |              30.0
       260 |         49 |              20.0
       260 |         50 |               0.0
       264 |          2 |               0.0
       264 |          3 |               0.0
       264 |          4 |               0.0
       264 |          5 |               0.0
       264 |          6 |               0.0
       264 |          7 |               0.0
       264 |          8 |               0.0
       264 |          9 |               0.0
       264 |         10 |               0.0
       264 |         11 |               0.0
       264 |         12 |               0.0
       264 |         13 |               0.0
       264 |         14 |               0.0
