Nonce Bits | Signatures |  Success Rate (%)
---------------------------------------------
       128 |          2 |             100.0
       160 |          2 |             100.0
       192 |          2 |             100.0
       224 |          2 |             100.0
       256 |          2 |              80.0
       256 |          3 |              60.0
       256 |          4 |              60.0
       256 |          5 |              50.0
       256 |          6 |              70.0
       256 |          7 |              60.0
       256 |          8 |              70.0
       256 |          9 |              70.0
       256 |         10 |              70.0
       256 |         11 |              80.0
       256 |         12 |              60.0
       256 |         13 |              80.0
       256 |         14 |              80.0
       256 |         15 |              70.0
       256 |         16 |              80.0
       256 |         17 |              70.0
       256 |         18 |              70.0
       256 |         19 |              70.0
       256 |         20 |              70.0
       256 |         21 |              70.0
       256 |         22 |              70.0
       256 |         23 |              80.0
       256 |         24 |              60.0
       256 |         25 |              70.0
       256 |         26 |              70.0
       256 |         27 |              50.0
       256 |         28 |              90.0
       257 |          2 |              30.0
       257 |          3 |              50.0
       257 |          4 |              40.0
       257 |          5 |              50.0
       257 |          6 |              50.0
       257 |          7 |              50.0
       257 |          8 |              40.0
       257 |          9 |              30.0
       257 |         10 |              20.0
       257 |         11 |              50.0
       257 |         12 |              50.0
       257 |         13 |              50.0
       257 |         14 |              50.0
       257 |         15 |              30.0
       257 |         16 |              40.0
       257 |         17 |              50.0
       257 |         18 |              60.0
       257 |         19 |              30.0
       257 |         20 |              70.0
       258 |          2 |              10.0
       258 |          3 |              10.0
       258 |          4 |               0.0
       258 |          5 |              20.0
       258 |          6 |              20.0
       258 |          7 |              10.0
       258 |          8 |              10.0
       258 |          9 |               0.0
       258 |         10 |              10.0
       258 |         11 |              30.0
       258 |         12 |              30.0
       258 |         13 |              10.0
       258 |         14 |              10.0
       258 |         15 |               0.0
       258 |         16 |              10.0
       258 |         17 |              40.0
       258 |         18 |              20.0
       258 |         19 |              20.0
       258 |         20 |              10.0
       258 |         21 |               0.0
       258 |         22 |              30.0
       258 |         23 |              10.0
       258 |         24 |              20.0
       258 |         25 |              40.0
       258 |         26 |              40.0
       258 |         27 |              20.0
       258 |         28 |              50.0
       258 |         29 |              20.0
       258 |         30 |              30.0
       258 |         31 |              10.0
       258 |         32 |              10.0
       258 |         33 |              10.0
       258 |         34 |              10.0
       258 |         35 |               0.0
       258 |         36 |              20.0
       258 |         37 |              30.0
       258 |         38 |               0.0
       258 |         39 |              40.0
       258 |         40 |              30.0
       258 |         41 |              20.0
       258 |         42 |               0.0
       258 |         43 |              40.0
       258 |         44 |              30.0
       258 |         45 |              20.0
       258 |         46 |              30.0
       258 |         47 |               0.0
       258 |         48 |              40.0
       258 |         49 |              30.0
       258 |         50 |              20.0
       259 |          2 |              10.0
       259 |          3 |              10.0
       259 |          4 |               0.0
       259 |          5 |               0.0
       259 |          6 |               0.0
       259 |          7 |              10.0
       259 |          8 |              10.0
       259 |          9 |              10.0
       259 |         10 |              20.0
       259 |         11 |              20.0
       259 |         12 |               0.0
       259 |         13 |              10.0
       259 |         14 |              20.0
       259 |         15 |               0.0
       259 |         16 |              20.0
       259 |         17 |              10.0
       259 |         18 |              30.0
       259 |         19 |              20.0
       259 |         20 |              10.0
       259 |         21 |              20.0
       259 |         22 |              10.0
       259 |         23 |              10.0
       259 |         24 |               0.0
       259 |         25 |              10.0
       259 |         26 |               0.0
       259 |         27 |               0.0
       259 |         28 |              20.0
       259 |         29 |              10.0
       259 |         30 |              30.0
       259 |         31 |               0.0
       259 |         32 |              10.0
       259 |         33 |              10.0
       259 |         34 |               0.0
       259 |         35 |               0.0
       259 |         36 |              10.0
       259 |         37 |              10.0
       259 |         38 |              10.0
       259 |         39 |              10.0
       259 |         40 |              20.0
       259 |         41 |              10.0
       259 |         42 |              10.0
       259 |         43 |              20.0
       259 |         44 |              10.0
       259 |         45 |               0.0
       259 |         46 |              20.0
       259 |         47 |              20.0
       259 |         48 |              20.0
       259 |         49 |              20.0
       259 |         50 |               0.0
       260 |          2 |               0.0
       260 |          3 |               0.0
       260 |          4 |              10.0
       260 |          5 |              10.0
       260 |          6 |               0.0
       260 |          7 |              10.0
       260 |          8 |               0.0
       260 |          9 |               0.0
       260 |         10 |               0.0
       260 |         11 |               0.0
       260 |         12 |              10.0
       260 |         13 |               0.0
       260 |         14 |               0.0
       260 |         15 |               0.0
       260 |         16 |               0.0
       260 |         17 |               0.0
       260 |         18 |               0.0
       260 |         19 |               0.0
       260 |         20 |               0.0
       260 |         21 |               0.0
       260 |         22 |               0.0
       260 |         23 |              10.0
       260 |         24 |               0.0
       260 |         25 |              10.0
       260 |         26 |               0.0
       260 |         27 |               0.0
       260 |         28 |               0.0
       260 |         29 |              10.0
       260 |         30 |               0.0
       260 |         31 |              10.0
       260 |         32 |               0.0
       260 |         33 |              20.0
       260 |         34 |               0.0
       260 |         35 |               0.0
       260 |         36 |              20.0
       260 |         37 |              10.0
       260 |         38 |               0.0
       260 |         39 |               0.0
       260 |         40 |              10.0
       260 |         41 |               0.0
       260 |         42 |               0.0
       260 |         43 |               0.0
       260 |         44 |              10.0
       260 |         45 |               0.0
       260 |         46 |               0.0
       260 |         47 |               0.0
       260 |         48 |               0.0
       260 |         49 |              20.0
       260 |         50 |               0.0
       264 |          2 |               0.0
       264 |          3 |               0.0
       264 |          4 |               0.0
       264 |          5 |              10.0
       264 |          6 |               0.0
       264 |          7 |               0.0
       264 |          8 |               0.0
       264 |          9 |               0.0
       264 |         10 |               0.0
       264 |         11 |               0.0
       264 |         12 |               0.0
       264 |         13 |               0.0
       264 |         14 |               0.0
       264 |         15 |               0.0
