Nonce Bits | Signatures |  Success Rate (%)
---------------------------------------------
       128 |          2 |             100.0
       160 |          2 |             100.0
       192 |          2 |             100.0
       224 |          2 |             100.0
       256 |          2 |              30.0
       256 |          3 |              70.0
       256 |          4 |              60.0
       256 |          5 |              50.0
       256 |          6 |              50.0
       256 |          7 |              70.0
       256 |          8 |              80.0
       256 |          9 |              90.0
       257 |          2 |              30.0
       257 |          3 |              60.0
       257 |          4 |              40.0
       257 |          5 |              20.0
       257 |          6 |              20.0
       257 |          7 |              40.0
       257 |          8 |              30.0
       257 |          9 |              50.0
       257 |         10 |              30.0
       257 |         11 |              30.0
       257 |         12 |              20.0
       257 |         13 |              30.0
       257 |         14 |              60.0
       257 |         15 |              60.0
       257 |         16 |              40.0
       257 |         17 |              30.0
       257 |         18 |              50.0
       257 |         19 |              40.0
       257 |         20 |              50.0
       257 |         21 |              60.0
       257 |         22 |              40.0
       257 |         23 |              30.0
       257 |         24 |              30.0
       257 |         25 |              20.0
       257 |         26 |              30.0
       257 |         27 |              20.0
       257 |         28 |              50.0
       257 |         29 |              40.0
       257 |         30 |              30.0
       257 |         31 |              20.0
       257 |         32 |              40.0
       257 |         33 |              30.0
       257 |         34 |              30.0
       257 |         35 |              50.0
       257 |         36 |              50.0
       257 |         37 |              30.0
       257 |         38 |              40.0
       257 |         39 |              30.0
       257 |         40 |              30.0
       257 |         41 |              30.0
       257 |         42 |              40.0
       257 |         43 |              40.0
       257 |         44 |              50.0
       257 |         45 |              30.0
       257 |         46 |              60.0
       257 |         47 |              20.0
       257 |         48 |              40.0
       257 |         49 |              60.0
       257 |         50 |              50.0
       258 |          2 |              10.0
       258 |          3 |              10.0
       258 |          4 |              40.0
       258 |          5 |              20.0
       258 |          6 |              30.0
       258 |          7 |              10.0
       258 |          8 |               0.0
       258 |          9 |              10.0
       258 |         10 |              10.0
       258 |         11 |              20.0
       258 |         12 |              40.0
       258 |         13 |              10.0
       258 |         14 |              20.0
       258 |         15 |              10.0
       258 |         16 |              10.0
       258 |         17 |              20.0
       258 |         18 |              10.0
       258 |         19 |              20.0
       258 |         20 |               0.0
       258 |         21 |              10.0
       258 |         22 |              20.0
       258 |         23 |              40.0
       258 |         24 |              10.0
       258 |         25 |              20.0
       258 |         26 |              30.0
       258 |         27 |              20.0
       258 |         28 |              20.0
       258 |         29 |              10.0
       258 |         30 |              20.0
       258 |         31 |              30.0
       258 |         32 |              10.0
       258 |         33 |               0.0
       258 |         34 |              20.0
       258 |         35 |              20.0
       258 |         36 |              20.0
       258 |         37 |              10.0
       258 |         38 |              30.0
       258 |         39 |              10.0
       258 |         40 |              30.0
       258 |         41 |              20.0
       258 |         42 |              20.0
       258 |         43 |               0.0
       258 |         44 |              30.0
       258 |         45 |               0.0
       258 |         46 |              10.0
       258 |         47 |              10.0
       258 |         48 |              30.0
       258 |         49 |              40.0
       258 |         50 |              30.0
       259 |          2 |              20.0
       259 |          3 |               0.0
       259 |          4 |              10.0
       259 |          5 |              10.0
       259 |          6 |              10.0
       259 |          7 |              10.0
       259 |          8 |               0.0
       259 |          9 |               0.0
       259 |         10 |               0.0
       259 |         11 |              10.0
       259 |         12 |               0.0
       259 |         13 |              10.0
       259 |         14 |              10.0
       259 |         15 |               0.0
       259 |         16 |              10.0
       259 |         17 |              10.0
       259 |         18 |              30.0
       259 |         19 |              10.0
       259 |         20 |              10.0
       259 |         21 |              10.0
       259 |         22 |              10.0
       259 |         23 |              10.0
       259 |         24 |              20.0
       259 |         25 |              10.0
       259 |         26 |              10.0
       259 |         27 |              20.0
       259 |         28 |              10.0
       259 |         29 |               0.0
       259 |         30 |               0.0
       259 |         31 |               0.0
       259 |         32 |               0.0
       259 |         33 |              10.0
       259 |         34 |              20.0
       259 |         35 |              10.0
       259 |         36 |              10.0
       259 |         37 |               0.0
       259 |         38 |              10.0
       259 |         39 |              20.0
       259 |         40 |               0.0
       259 |         41 |               0.0
       259 |         42 |              20.0
       259 |         43 |               0.0
       259 |         44 |              10.0
       259 |         45 |               0.0
       259 |         46 |               0.0
       259 |         47 |              10.0
       259 |         48 |              20.0
       259 |         49 |              10.0
       259 |         50 |              10.0
       260 |          2 |               0.0
       260 |          3 |               0.0
       260 |          4 |              10.0
       260 |          5 |               0.0
       260 |          6 |               0.0
       260 |          7 |               0.0
       260 |          8 |               0.0
       260 |          9 |               0.0
       260 |         10 |              10.0
       260 |         11 |               0.0
       260 |         12 |               0.0
       260 |         13 |               0.0
       260 |         14 |              10.0
       260 |         15 |               0.0
       260 |         16 |              20.0
       260 |         17 |               0.0
       260 |         18 |               0.0
       260 |         19 |              20.0
       260 |         20 |              10.0
       260 |         21 |              10.0
       260 |         22 |              10.0
       260 |         23 |               0.0
       260 |         24 |               0.0
       260 |         25 |               0.0
       260 |         26 |               0.0
       260 |         27 |               0.0
       260 |         28 |               0.0
       260 |         29 |               0.0
       260 |         30 |              10.0
       260 |         31 |               0.0
       260 |         32 |               0.0
       260 |         33 |               0.0
       260 |         34 |               0.0
       260 |         35 |              10.0
       260 |         36 |              10.0
       260 |         37 |               0.0
       260 |         38 |              10.0
       260 |         39 |               0.0
       260 |         40 |               0.0
       260 |         41 |               0.0
       260 |         42 |              10.0
       260 |         43 |               0.0
       260 |         44 |               0.0
       260 |         45 |               0.0
       260 |         46 |               0.0
       260 |         47 |              20.0
       260 |         48 |               0.0
       260 |         49 |               0.0
       260 |         50 |              10.0
       264 |          2 |               0.0
       264 |          3 |               0.0
       264 |          4 |               0.0
